ISS-ID,loncity,latcity,lens,large,coordimage,CoordFLAG
ISS030-E-177065,0.0,0.0,180.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-177065.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.8&lon=13.7,5.0
ISS030-E-183793,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-183793.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=30.5&lon=-112.1,5.0
ISS030-E-183832,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-183832.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.9&lon=-105.6,5.0
ISS030-E-188196,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188196.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=41.0&lon=-3.8,5.0
ISS030-E-188213,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188213.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=45.3&lon=5.1,5.0
ISS030-E-188224,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188224.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.7&lon=12.1,5.0
ISS030-E-188225,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188225.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.8&lon=12.2,5.0
ISS030-E-195520,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195520.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=45.2&lon=-72.5,5.0
ISS030-E-223648,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223648.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=50.1&lon=-123.9,5.0
ISS030-E-224413,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-224413.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.5&lon=45.6,5.0
ISS030-E-224473,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-224473.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.0&lon=40.0,5.0
ISS030-E-234086,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-234086.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.3&lon=47.7,5.0
ISS030-E-274380,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-274380.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.1&lon=31.2,5.0
ISS030-E-274804,0.0,0.0,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-274804.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=50.3&lon=-109.7,5.0
ISS030-E-280639,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-280639.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.1&lon=-2.9,5.0
ISS030-E-280642,0.0,0.0,85.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-280642.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=35.5&lon=-2.4,5.0
